date_20,ccode,date_20,date_19,ratios,peak_2020,peak_2019,country,holiday,ISO,temp_19,temp_20,dates,adj_2020,adj_ratio,day_of_week
2021-01-04,Hokuriku,2021-01-04,2019-01-07,72.74437724002884,14228.0,19558.9,Hokuriku,0,,4.5,,2021-01-04,,,Monday
2021-01-05,Hokuriku,2021-01-05,2019-01-08,88.42267758882551,17756.6,20081.5,Hokuriku,0,,4.4,,2021-01-05,,,Tuesday
2021-01-06,Hokuriku,2021-01-06,2019-01-09,96.67922625195791,19936.9,20621.7,Hokuriku,0,,0.1,,2021-01-06,,,Wednesday
2021-01-07,Hokuriku,2021-01-07,2019-01-10,95.42365587541799,21287.3,22308.2,Hokuriku,0,,3.6,,2021-01-07,,,Thursday
2021-01-08,Hokuriku,2021-01-08,2019-01-11,114.12435881396223,22804.9,19982.5,Hokuriku,0,,3.9,-1.6,2021-01-08,19737.487817565747,0.9877386622077192,Friday
2021-01-04,IE,2021-01-04,2019-01-07,106.47349030506227,4176.05,3922.15,Ireland,0,,9.3,3.7,2021-01-04,3916.407779948393,0.9985359509321146,Monday
2021-01-05,IE,2021-01-05,2019-01-08,107.40194145112656,4220.95,3930.05,Ireland,0,,5.3,2.8,2021-01-05,4129.554851874445,1.0507639475005268,Tuesday
2021-01-06,IE,2021-01-06,2019-01-09,108.73645204942392,4298.95,3953.55,Ireland,0,,5.3,1.1,2021-01-06,4174.30561250633,1.0558373139346486,Wednesday
2021-01-07,IE,2021-01-07,2019-01-10,110.49263989331692,4308.55,3899.4,Ireland,0,,7.9,0.0,2021-01-07,4053.6977590775386,1.039569615601769,Thursday
2021-01-08,IE,2021-01-08,2019-01-11,110.88147860928007,4289.45,3868.5,Ireland,0,,7.9,-1.0,2021-01-08,4043.6589824141347,1.0452782686866058,Friday
2021-01-04,IT,2021-01-04,2019-01-07,80.10401569912413,35594.7,44435.6,Italy,0,,5.6,7.3,2021-01-04,36407.06715721218,0.8193220561264433,Monday
2021-01-05,IT,2021-01-05,2019-01-08,79.14213047748531,36905.4,46631.8,Italy,0,,6.9,7.8,2021-01-05,37346.81871799936,0.8008873497913302,Tuesday
2021-01-06,IT,2021-01-06,2019-01-09,62.174477900056836,28762.1,46260.3,Italy,1,,7.5,7.7,2021-01-06,28860.63678469516,0.6238748297070092,Wednesday
2021-01-07,IT,2021-01-07,2019-01-10,91.34705129039959,42084.5,46071.0,Italy,0,,4.8,5.5,2021-01-07,42398.297121294236,0.9202816765708196,Thursday
2021-01-08,IT,2021-01-08,2019-01-11,91.51431112513089,41776.1,45649.8,Italy,0,,3.7,5.8,2021-01-08,42687.784699678894,0.9351143860362782,Friday
2021-01-04,India,2021-01-04,2019-01-07,102.35357446284156,157820.0,154191.0,India,0,,19.26,19.94,2021-01-04,157616.2920782369,1.0222146044726146,Monday
2021-01-05,India,2021-01-05,2019-01-08,101.35770268288172,158938.0,156809.0,India,0,,19.34,20.7,2021-01-05,158442.11466917768,1.0104146743438047,Tuesday
2021-01-06,India,2021-01-06,2019-01-09,101.49079479119892,158214.0,155890.0,India,0,,19.18,20.84,2021-01-06,157612.63910408915,1.0110503502732,Wednesday
2021-01-07,India,2021-01-07,2019-01-10,103.18631038366816,162148.0,157141.0,India,0,,18.82,21.26,2021-01-07,161259.93569623053,1.0262117187508704,Thursday
2021-01-08,India,2021-01-08,2019-01-11,101.64934032745191,159869.0,157275.0,India,0,,18.68,20.74,2021-01-08,159222.4100953155,1.0123821973951077,Friday
2021-01-04,Japan,2021-01-04,2019-01-07,85.51065580963487,107707.6266,125958.1342,Japan,0,,5.34,7.0600000000000005,2021-01-04,113186.58855247582,0.8986048362129185,Monday
2021-01-05,Japan,2021-01-05,2019-01-08,98.9962729152707,127847.1543,129143.40159999998,Japan,0,,5.65,6.56,2021-01-05,130763.13212782114,1.0125421082901158,Tuesday
2021-01-06,Japan,2021-01-06,2019-01-09,101.82887178861723,134637.729,132219.60199999998,Japan,0,,4.44,5.72,2021-01-06,138957.8525010114,1.050962568326377,Wednesday
2021-01-07,Japan,2021-01-07,2019-01-10,101.30713931234872,141147.22999999998,139326.04450000002,Japan,0,,6.3100000000000005,3.0,2021-01-07,129789.68464106596,0.9315536453133568,Thursday
2021-01-08,Japan,2021-01-08,2019-01-11,116.97886735884796,150003.90720000002,128231.629,Japan,0,,6.8900000000000015,-2.1300000000000003,2021-01-08,117098.80076438414,0.913181885604714,Friday
2021-01-04,Kansai ,2021-01-04,2019-01-07,82.05376713507962,17000.5541,20718.7978,Kansai ,0,,7.5,,2021-01-04,,,Monday
